Ranking,Company Name,Symbol
704,Performance Food Group Company,PFGC
705,Procter & Gamble Company,PG
706,Progressive Corp,PGR
707,Parker-Hannifin Corp,PH
708,Pultegroup,PHM
709,Polaris Industries Inc,PII
710,Premier Inc Cl A,PINC
711,Pinterest Inc,PINS
712,Park Hotels & Resorts Inc,PK
713,Packaging Corp of America,PKG
714,Perkinelmer,PKI
715,Prologis Inc,PLD
716,Planet Fitness,PLNT
717,Playtika Holding Corp,PLTK
718,Palantir Technologies Inc Cl A,PLTR
719,Plug Power Inc,PLUG
720,Philip Morris International Inc,PM
721,PNC Bank,PNC
722,Pinnacle Finl Ptnrs,PNFP
723,Pentair Ltd,PNR
724,Pinnacle West Capital Corp,PNW
725,Insulet Corp,PODD
726,Pool Corp,POOL
727,Post Holdings Inc,POST
728,Pilgrim's Pride,PPC
729,PPG Industries,PPG
730,PPL Corp,PPL
731,Perrigo Company,PRGO
732,Primerica Inc,PRI
733,Prudential Financial Inc,PRU
734,Public Storage,PSA
735,Pure Storage Inc,PSTG
736,Phillips 66,PSX
737,Ptc Inc,PTC
738,Peloton Interactive Inc,PTON
739,Phillips-Van Heusen Corp,PVH
740,Quanta Services,PWR
741,Pioneer Natural Resources Company,PXD
742,Paycor Hcm Inc,PYCR
743,Paypal Holdings,PYPL
744,Qualcomm Inc,QCOM
745,Quidelortho Corp,QDEL
746,Qiagen N.V.,QGEN
747,Qorvo Inc,QRVO
748,Quantumscape Corp,QS
749,Ryder System,R
750,Ultragenyx Pharmaceu,RARE
751,Ritchie Bros. Auctioneers Inc,RBA
752,Roblox Corp Cl A,RBLX
753,Royal Caribbean Cruises Ltd,RCL
754,Everest Re Group,RE
755,Regency Centers Corp,REG
756,Regeneron Pharmaceuticals,REGN
757,Rexford Industrial Realty Inc,REXR
758,Reynolds Consumer Products Inc,REYN
759,Regions Financial Corp,RF
760,Reinsurance Group of America Inc,RGA
761,Repligen Cp,RGEN
762,Royal Gold Inc,RGLD
763,Rh Common Stock,RH
764,Robert Half International Inc,RHI
765,Rithm Capital Corp,RITM
766,Rivian Automotive Inc Cl A,RIVN
767,Raymond James Financial,RJF
768,Rocket Companies Inc Cl A,RKT
769,Ralph Lauren Corp,RL
770,Resmed Inc,RMD
771,Ringcentral Inc,RNG
772,Renaissancere Holdings Ltd,RNR
773,Rockwell Automation Inc,ROK
774,Roku Inc,ROKU
775,Rollins Inc,ROL
776,Roper Industries,ROP
777,Ross Stores Inc,ROST
778,RPM International Inc,RPM
779,Royalty Pharma Plc Cl A,RPRX
780,Range Resources Corp,RRC
781,Regal Rexnord Corp,RRX
782,Reliance Steel & Aluminum Company,RS
783,Republic Services,RSG
784,Raytheon Technologies Corp,RTX
785,Sunrun Inc,RUN
786,Ryan Specialty Hldgs Inc,RYAN
787,Rayonier Inc REIT,RYN
788,Sentinelone Inc Cl A,S
789,Science Applications International,SAIC
790,Boston Beer Company,SAM
791,SBA Communications,SBAC
792,Starbucks Corp,SBUX
793,Southern Copper Corp,SCCO
794,The Charles Schwab Corp,SCHW
795,Service Corp International,SCI
796,Seaboard Corp,SEB
797,Sealed Air Corp,SEE
798,Sei Investments Company,SEIC
799,Stifel Financial Corp,SF
800,Seagen Inc,SGEN
801,Sotera Health Company,SHC
802,Sherwin-Williams Company,SHW
803,Sirius XM Holdings,SIRI
804,Siteone Landscape Supply,SITE
805,Six Flags Entertainment Corp,SIX
806,J.M. Smucker Company,SJM
807,Skechers U.S.A.,SKX
808,Schlumberger N.V.,SLB
809,SL Green Realty Corp,SLG
810,Silgan Holdings,SLGN
811,SLM Corp,SLM
812,Smartsheet Inc Cl A,SMAR
813,Scotts Miracle-Gro Company,SMG
814,Snap-On Inc,SNA
815,Schneider National Inc,SNDR
816,Snowflake Inc Cl A,SNOW
817,Synopsys Inc,SNPS
818,Synovus Financial Corp,SNV
819,Synnex Corp,SNX
820,Southern Company,SO
821,Sofi Technologies Inc,SOFI
822,Sonoco Products Company,SON
823,Spectrum Brands Holdings Inc,SPB
824,Simon Property Group,SPG
825,S&P Global Inc,SPGI
826,Splunk Inc,SPLK
827,Spotify Technology S.A.,SPOT
828,Spirit Aerosystems Holdings,SPR
829,Block Inc,SQ
830,Spirit Realty Capital Inc,SRC
831,Stericycle Inc,SRCL
832,Sempra,SRE
833,Sarepta Therapeutics,SRPT
834,SS&C Technologies,SSNC
835,Ssr Mining Inc,SSRM
836,Sensata Technologies Holding N.V.,ST
837,Steris Corp,STE
838,Steel Dynamics Inc,STLD
839,State Street Corp,STT
840,Starwood Property Trust,STWD
841,Constellation Brands Inc,STZ
842,Sun Communities,SUI
843,Stanley Black & Decker Inc,SWK
844,Skyworks Solutions,SWKS
845,Southwestern Energy Company,SWN
846,Synchrony Financial,SYF
